      start,   overhead,     sycall,   swapgs_k,      cr3_k,  push_regs,       func, do_syscall, ret_checks,   pop_regs,      cr3_u,   swapgs_u,     sysret
          0,        235,        523,        774,       1234,       1503,       1808,       2726,       2981,       3229,       3697,       3942,       4226
          0,        234,        521,        771,       1230,       1499,       1804,       2721,       2974,       3222,       3690,       3935,       4218
          0,        233,        521,        771,       1230,       1499,       1807,       2727,       2979,       3227,       3700,       3948,       4229
          0,        234,        524,        777,       1239,       1508,       1815,       2737,       2989,       3239,       3709,       3956,       4237
          0,        236,        524,        775,       1236,       1505,       1815,       2733,       2985,       3234,       3702,       3947,       4228
          0,        235,        522,        772,       1231,       1500,       1805,       2723,       2978,       3226,       3694,       3939,       4223
          0,        233,        520,        770,       1229,       1498,       1803,       2720,       2973,       3221,       3692,       3937,       4219
          0,        234,        524,        777,       1239,       1508,       1814,       2736,       2988,       3238,       3707,       3954,       4235
          0,        236,        525,        777,       1239,       1508,       1813,       2731,       2983,       3232,       3700,       3945,       4226
          0,        235,        522,        770,       1229,       1498,       1803,       2721,       2975,       3223,       3691,       3936,       4220
          0,        233,        520,        768,       1227,       1496,       1801,       2718,       2971,       3219,       3687,       3932,       4214
          0,        234,        524,        775,       1237,       1506,       1813,       2730,       2982,       3232,       3702,       3949,       4230
          0,        233,        522,        774,       1237,       1506,       1816,       2731,       2983,       3232,       3700,       3946,       4227
          0,        263,        552,        802,       1264,       1533,       1848,       2769,       3020,       3277,       3744,       3989,       4270
          0,        235,        523,        774,       1234,       1503,       1807,       2729,       2984,       3232,       3700,       3945,       4229
          0,        234,        521,        771,       1230,       1499,       1804,       2722,       2975,       3223,       3691,       3936,       4219
          0,        233,        520,        770,       1229,       1498,       1809,       2730,       2982,       3233,       3704,       3952,       4233
          0,        235,        523,        774,       1234,       1503,       1808,       2726,       2981,       3229,       3697,       3942,       4226
          0,        233,        520,        770,       1229,       1498,       1806,       2723,       2975,       3223,       3696,       3941,       4223
          0,        234,        524,        777,       1239,       1508,       1814,       2729,       2981,       3231,       3700,       3946,       4227
          0,        234,        521,        771,       1230,       1499,       1809,       2722,       2976,       3224,       3692,       3937,       4221
          0,        233,        520,        770,       1229,       1498,       1805,       2723,       2975,       3226,       3697,       3944,       4225
          0,        236,        525,        777,       1239,       1508,       1812,       2726,       2978,       3227,       3695,       3940,       4221
          0,        233,        520,        770,       1229,       1498,       1802,       2719,       2972,       3220,       3688,       3933,       4215
          0,        234,        524,        777,       1239,       1508,       1819,       2741,       2993,       3243,       3713,       3960,       4241
          0,        235,        522,        772,       1231,       1500,       1805,       2723,       2977,       3225,       3693,       3938,       4222
          0,        233,        521,        771,       1230,       1499,       1807,       2727,       2979,       3227,       3700,       3948,       4229
          0,        233,        522,        774,       1237,       1506,       1812,       2727,       2979,       3228,       3696,       3942,       4223
          0,        234,        521,        771,       1230,       1499,       1804,       2721,       2975,       3223,       3691,       3936,       4219
          0,        234,        524,        777,       1239,       1508,       1815,       2732,       2984,       3234,       3704,       3951,       4232
          0,        236,        524,        775,       1236,       1505,       1810,       2724,       2979,       3227,       3695,       3940,       4221
          0,        234,        521,        771,       1230,       1499,       1804,       2721,       2974,       3222,       3690,       3935,       4218
          0,        234,        524,        777,       1239,       1508,       1814,       2729,       2981,       3231,       3700,       3946,       4227
          0,        235,        522,        772,       1231,       1500,       1805,       2723,       2977,       3225,       3693,       3938,       4222
          0,        233,        521,        771,       1230,       1499,       1807,       2727,       2979,       3227,       3700,       3948,       4229
