       start,    overhead,         svc, tramp_entry, sp_overflow,       entry,     el0_svc,  func_entry,   func_exit,      finish,     restore,  tramp_exit,        eret
           0,         100,        1298,        1642,        1752,        1949,        2317,        3028,        3261,        3446,        3579,        3773,        3900
           0,          92,         261,         504,         610,         775,         944,        1108,        1270,        1421,        1552,        1673,        1800
           0,          92,         253,         485,         591,         753,         885,        1027,        1189,        1336,        1450,        1571,        1698
           0,          92,         231,         463,         569,         731,         863,        1005,        1167,        1314,        1428,        1549,        1676
           0,          92,         231,         463,         569,         731,         863,        1005,        1167,        1314,        1428,        1549,        1676
           0,          92,         231,         463,         569,         731,         863,        1005,        1167,        1314,        1428,        1549,        1676
           0,          92,         231,         463,         569,         731,         863,        1005,        1167,        1314,        1428,        1549,        1676
           0,          92,         231,         463,         569,         731,         863,        1005,        1167,        1314,        1428,        1549,        1676
           0,          92,         231,         463,         569,         731,         863,        1005,        1167,        1314,        1428,        1549,        1676
           0,          92,         231,         463,         569,         731,         863,        1005,        1167,        1314,        1428,        1549,        1676
           0,          92,         231,         463,         569,         731,         863,        1005,        1167,        1314,        1428,        1549,        1676
           0,          92,         231,         463,         569,         731,         863,        1005,        1167,        1314,        1428,        1549,        1676
           0,          92,         231,         463,         569,         731,         863,        1005,        1167,        1314,        1428,        1549,        1676
           0,          92,         231,         463,         569,         731,         863,        1005,        1167,        1314,        1428,        1549,        1676
           0,          92,         231,         463,         569,         731,         863,        1005,        1167,        1314,        1428,        1549,        1676
           0,          92,         231,         463,         569,         731,         863,        1005,        1167,        1314,        1428,        1549,        1676
           0,          92,         231,         463,         569,         731,         863,        1005,        1167,        1314,        1428,        1549,        1676
           0,          92,         231,         463,         569,         731,         863,        1005,        1167,        1314,        1428,        1549,        1676
           0,          92,         231,         463,         569,         731,         863,        1005,        1167,        1314,        1428,        1549,        1676
           0,          92,         231,         463,         569,         731,         863,        1005,        1167,        1314,        1428,        1549,        1676
           0,          92,         231,         463,         569,         731,         863,        1005,        1167,        1314,        1428,        1549,        1676
           0,          92,         231,         463,         569,         731,         863,        1005,        1167,        1314,        1428,        1549,        1676
           0,          92,         231,         463,         569,         731,         863,        1005,        1167,        1314,        1428,        1549,        1676
           0,          92,         231,         463,         569,         731,         863,        1005,        1167,        1314,        1428,        1549,        1676
           0,          93,         232,         464,         570,         735,         879,        1020,        1181,        1331,        1445,        1566,        1693
           0,          92,         231,         463,         569,         733,         865,        1006,        1167,        1315,        1429,        1550,        1677
