name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"fastcall_noop",20955319,33.1708,33.1708,ns,,,,,
"ExamplesFixture<fce::IOCTL_NOOP>/fastcall_examples_noop",20165152,34.7691,34.769,ns,,,,,
"ExamplesFixture<fce::IOCTL_STACK>/fastcall_examples_stack",14700359,48.1585,48.1586,ns,,,,,
"ExamplesFixture<fce::IOCTL_PRIV>/fastcall_examples_priv",18512715,38.5222,38.5221,ns,,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/0",15513429,45.1228,45.1216,ns,0,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/8",15661561,45.1481,45.1481,ns,1.77195e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/16",14940524,44.9697,44.9695,ns,3.55797e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/24",14956486,46.8367,46.8367,ns,5.12418e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/32",15019588,46.6,46.5994,ns,6.86703e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/40",14738667,47.6219,47.6211,ns,8.39963e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/48",14569897,47.6412,47.6411,ns,1.00753e+09,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/56",14608928,47.9988,47.9989,ns,1.16669e+09,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/64",14378798,48.7366,48.7364,ns,1.31319e+09,,,,
"ExamplesFixture<fce::IOCTL_NT>/fastcall_examples_nt",3171353,225.663,225.663,ns,2.83609e+08,,,,
