      start,   overhead,     sycall,   swapgs_k,      cr3_k,  push_regs, func_entry,  func_exit, ret_checks,   pop_regs,      cr3_u,   swapgs_u,     sysret
          0,        219,        504,        739,        974,       1216,       1509,       1819,       2056,       2291,       2529,       2761,       3058
          0,        221,        505,        737,        973,       1217,       1517,       1827,       2066,       2304,       2542,       2774,       3069
          0,        222,        505,        740,        975,       1217,       1468,       1777,       2013,       2248,       2484,       2716,       3013
          0,        220,        504,        737,        974,       1216,       1510,       1819,       2058,       2294,       2530,       2762,       3049
          0,        219,        503,        737,        974,       1218,       1513,       1821,       2060,       2295,       2534,       2767,       3060
          0,        220,        509,        743,        979,       1221,       1472,       1784,       2022,       2258,       2497,       2728,       3221
          0,        221,        506,        739,        975,       1218,       1517,       1825,       2064,       2299,       2537,       2769,       3061
          0,        219,        503,        737,        974,       1218,       1513,       1821,       2060,       2295,       2534,       2767,       3059
          0,        220,        504,        737,        974,       1217,       1516,       1825,       2063,       2297,       2533,       2765,       3057
          0,        219,        503,        736,        970,       1212,       1463,       1773,       2012,       2247,       2486,       2718,       3006
          0,        219,        504,        739,        974,       1219,       1469,       1778,       2017,       2252,       2490,       2722,       3019
          0,        219,        505,        740,        975,       1218,       1515,       1824,       2063,       2298,       2537,       2769,       3056
          0,        221,        504,        736,        970,       1213,       1515,       1825,       2061,       2294,       2530,       2763,       3055
          0,        219,        504,        739,        974,       1216,       1465,       1776,       2014,       2249,       2486,       2718,       3219
          0,        219,        503,        737,        974,       1217,       1512,       1819,       2058,       2293,       2532,       2765,       3057
          0,        218,        503,        738,        976,       1219,       1521,       1829,       2068,       2303,       2543,       2775,       3070
          0,        218,        608,        843,       1081,       1324,       1623,       1932,       2170,       2405,       2645,       2877,       3172
          0,        219,        504,        739,        974,       1217,       1467,       1777,       2016,       2251,       2489,       2721,       3013
          0,        220,        504,        737,        974,       1217,       1469,       1780,       2019,       2255,       2491,       2723,       3011
          0,        218,        503,        738,        976,       1218,       1514,       1822,       2060,       2298,       2536,       2768,       3063
          0,        220,        504,        737,        974,       1216,       1468,       1779,       2017,       2251,       2487,       2719,       3016
          0,        219,        508,        742,        977,       1221,       1475,       1783,       2021,       2256,       2493,       2726,       3222
          0,        220,        504,        737,        974,       1216,       1511,       1820,       2059,       2295,       2531,       2763,       3051
          0,        219,        503,        736,        970,       1212,       1506,       1815,       2053,       2288,       2525,       2757,       3046
          0,        219,        503,        914,       1149,       1390,       1684,       1995,       2232,       2467,       2706,       2939,       3227
          0,        220,        504,        739,        974,       1215,       1466,       1776,       2015,       2252,       2489,       2721,       3018
          0,        219,        502,        736,        971,       1216,       1467,       1776,       2012,       2247,       2486,       2718,       3010
          0,        222,        506,        739,        976,       1219,       1512,       1822,       2060,       2294,       2530,       2762,       3054
          0,        219,        503,        737,        974,       1218,       1516,       1823,       2062,       2297,       2536,       2769,       3061
          0,        218,        502,        734,        970,       1213,       1506,       1818,       2056,       2294,       2531,       2762,       3260
          0,        219,        503,        738,        973,       1216,       1509,       1820,       2060,       2295,       2534,       2766,       3053
          0,        222,        506,        739,        976,       1218,       1469,       1780,       2019,       2255,       2491,       2723,       3010
          0,        220,        504,        737,        972,       1215,       1507,       1817,       2055,       2289,       2525,       2757,       3049
          0,        221,        505,        738,        972,       1218,       1513,       1821,       2059,       2294,       2531,       2764,       3052
          0,        219,        509,        744,        979,       1222,       1472,       1781,       2020,       2255,       2493,       2725,       3017
          0,        219,        504,        739,        977,       1223,       1517,       1827,       2067,       2302,       2542,       2774,       3069
          0,        220,        504,        737,        974,       1216,       1509,       1819,       2057,       2291,       2527,       2759,       3056
          0,        219,        503,        736,        973,       1216,       1467,       1778,       2015,       2250,       2489,       2721,       3217
          0,        221,        504,        738,        973,       1216,       1515,       1825,       2061,       2298,       2535,       2767,       3059
          0,        220,        504,        737,        973,       1216,       1519,       1829,       2064,       2299,       2534,       2766,       3056
          0,        218,        602,        834,       1072,       1316,       1609,       1919,       2160,       2395,       2635,       2867,       3165
          0,        219,        509,        744,        979,       1222,       1472,       1782,       2021,       2256,       2493,       2725,       3013
