noop,fastcall
38,193
37,279
14,181
8,171
6,170
8,175
8,170
8,181
12,170
6,170
9,172
16,170
16,172
9,170
9,170
7,170
9,170
8,170
9,170
11,170
9,177
10,183
8,170
10,170
12,170
16,170
11,175
10,170
10,170
7,170
10,170
10,170
16,176
13,170
10,170
11,175
8,170
8,170
12,170
13,175
12,170
7,170
8,175
7,170
6,170
9,170
10,175
7,170
7,170
7,175
7,170
8,172
10,177
9,172
10,172
9,172
9,172
7,172
8,172
9,172
12,172
13,172
13,172
11,172
10,176
12,172
13,172
8,172
7,176
9,172
8,172
6,172
12,176
13,174
11,172
11,172
9,176
9,172
7,176
9,172
9,172
8,176
9,172
10,172
7,172
10,172
8,184
10,172
7,174
8,172
7,172
7,184
7,172
6,172
7,172
8,176
6,18446744073709486254
14,174
16,172
10,178
10,176
10,172
10,172
7,172
7,176
7,172
10,172
9,172
9,176
10,172
7,172
12,176
16,172
8,172
9,172
8,176
10,176
9,176
7,174
10,174
10,172
6,172
7,172
16,172
13,172
7,172
7,172
9,176
12,174
13,172
11,172
12,176
11,177
9,172
12,172
13,172
8,172
9,172
8,174
7,176
7,172
9,174
11,172
9,174
9,172
9,172
12,172
12,172
13,170
10,170
12,175
10,172
9,170
8,175
12,170
15,170
16,170
11,170
11,170
12,172
10,172
12,172
11,177
11,172
12,172
16,172
12,172
9,172
12,176
12,172
11,172
11,172
9,172
11,176
10,172
12,172
12,172
12,172
10,172
12,172
12,172
16,172
10,172
10,176
8,181
8,172
15,172
16,172
7,172
7,172
9,176
9,174
9,172
9,176
7,172
10,176
10,172
9,176
9,172
9,176
8,172
9,172
9,174
9,172
6,176
10,172
8,172
9,176
9,172
9,172
9,176
9,172
9,172
10,174
16,172
16,176
8,172
9,172
11,174
10,172
10,172
9,176
8,176
8,185
8,172
7,172
13,176
16,172
9,172
12,172
7,176
8,172
9,192
8,18446744073709486252
8,172
10,174
8,172
12,172
13,172
7,172
7,187
8,172
9,174
13,172
13,172
10,172
9,172
7,176
13,172
16,172
7,172
8,174
9,172
10,176
8,172
9,172
9,172
9,176
13,172
15,172
9,172
7,172
7,172
8,172
10,172
10,172
8,172
10,172
12,172
16,172
9,172
10,174
9,172
10,175
9,170
19,170
11,170
12,171
13,170
9,170
7,170
7,175
7,170
14,172
13,172
10,172
7,172
8,176
12,172
14,172
14,174
8,172
10,172
6,172
10,172
8,172
10,174
12,172
13,174
11,172
10,172
7,174
7,172
7,172
8,172
8,174
6,172
9,172
7,176
15,172
16,177
9,170
9,172
9,172
9,172
10,176
10,172
12,172
9,172
9,172
