noop,vdso,syscall,ioctl
9,14,286,436
8,20,283,359
8,13,281,354
8,14,443,354
10,12,299,352
11,13,291,352
10,13,290,351
10,13,286,350
9,12,325,394
10,13,461,528
8,20,297,357
8,15,291,353
8,16,286,360
8,16,285,363
8,19,282,358
10,22,280,354
7,21,286,440
7,19,286,350
8,19,289,350
10,12,287,355
8,12,289,356
11,15,279,355
8,12,287,358
8,12,280,358
8,15,281,353
11,15,287,357
10,13,288,352
10,12,286,350
10,15,288,353
10,15,323,353
10,15,288,349
9,12,287,349
10,13,294,344
10,16,283,351
10,12,287,355
9,12,283,348
11,14,288,347
10,19,278,347
11,19,283,352
8,14,281,523
8,20,285,346
8,20,279,332
10,12,289,348
10,19,281,355
8,21,285,431
10,18,280,349
9,14,285,350
10,17,281,342
10,16,288,345
10,16,283,327
7,21,286,340
11,20,286,425
7,20,292,349
7,12,287,354
7,13,284,343
7,15,277,353
7,13,286,352
7,12,290,433
7,13,285,357
7,15,285,349
11,13,455,358
10,13,18446744073709486371,357
11,13,295,344
11,14,289,353
8,15,291,340
10,14,286,359
9,13,288,357
8,13,281,353
10,13,284,356
8,15,282,333
8,13,285,340
10,12,281,355
8,13,283,352
8,15,283,360
7,13,282,359
10,13,281,357
8,13,293,361
10,13,293,359
9,13,284,353
8,13,291,363
11,11,287,358
10,13,286,360
10,13,358,356
10,20,286,355
10,20,283,353
10,20,286,356
8,16,281,352
10,20,288,535
10,11,284,353
8,20,287,357
10,20,288,354
10,12,292,402
11,13,284,381
6,12,356,356
10,15,288,364
8,13,286,354
11,13,287,355
10,13,287,521
10,15,363,352
8,14,287,353
10,20,285,351
9,13,357,355
8,20,290,363
8,11,288,352
8,20,293,348
8,13,291,351
10,19,288,353
10,14,285,350
8,19,290,425
10,14,280,344
9,20,318,349
9,20,288,351
8,20,286,345
8,19,282,349
8,23,286,349
11,22,285,359
9,18,286,355
10,19,278,358
9,16,349,357
8,19,289,352
10,19,286,355
10,19,280,359
10,19,284,356
10,19,283,353
10,12,286,356
9,19,284,354
8,14,278,353
10,15,285,339
8,14,287,335
8,15,287,337
10,14,302,328
10,20,290,338
8,14,293,340
9,14,281,329
10,14,454,333
10,12,292,331
8,14,281,327
10,12,287,335
8,19,289,334
9,19,278,331
8,19,282,330
10,22,281,337
9,21,285,330
10,19,280,421
10,14,282,333
8,19,406,326
8,19,413,325
8,14,287,510
13,11,277,363
8,15,280,351
8,11,276,352
8,12,286,346
8,16,280,340
8,14,283,351
8,16,313,350
11,20,288,348
8,20,286,346
8,12,285,436
8,12,283,349
8,20,282,347
8,19,285,347
8,11,284,351
8,14,281,339
8,20,285,350
8,16,285,351
8,16,287,343
9,20,402,343
8,20,291,356
8,20,286,348
11,20,316,354
10,20,287,345
10,15,286,355
8,20,286,351
10,20,282,359
8,19,289,359
10,19,282,356
9,12,283,353
9,13,280,349
8,12,281,351
8,12,286,348
8,13,277,335
8,12,281,429
11,19,280,351
7,19,289,354
10,19,284,340
10,14,289,355
10,14,283,439
9,11,285,357
9,12,284,350
10,14,288,347
7,14,449,349
10,14,291,346
9,20,283,352
10,20,284,338
10,19,288,352
10,13,289,353
10,16,287,352
9,12,288,18446744073709486435
10,14,284,359
8,19,284,357
8,14,283,362
9,19,284,360
10,14,280,350
7,12,288,347
10,13,283,422
8,14,288,349
8,11,283,344
10,7,287,354
10,19,276,353
11,16,285,337
8,19,274,350
10,12,282,351
10,11,283,534
8,16,281,350
10,19,325,355
10,16,290,347
8,19,288,358
11,22,286,349
10,19,287,346
10,19,290,353
8,19,287,349
9,19,280,353
10,14,280,347
10,20,287,350
10,15,285,433
11,14,285,356
9,11,287,349
10,20,286,348
8,20,292,332
10,13,281,349
9,12,287,352
10,13,285,348
10,20,280,338
8,12,278,348
8,14,287,349
10,12,287,343
11,11,291,334
8,11,289,435
10,20,290,440
7,12,282,355
10,14,288,358
10,20,278,519
10,15,289,346
10,12,285,354
10,16,284,353
10,16,289,350
10,12,282,358
11,16,288,350
9,20,280,400
11,7,286,356
8,12,282,350
11,12,291,339
10,15,283,340
8,20,279,337
9,15,279,341
10,20,279,424
8,20,288,343
10,20,285,423
10,16,277,353
7,20,283,350
10,20,282,348
7,20,279,345
10,11,277,338
8,12,428,336
10,20,284,349
9,12,280,353
10,11,280,339
8,12,289,351
10,12,281,439
10,20,286,353
10,14,282,352
8,15,18446744073709486404,340
9,14,289,343
10,20,285,353
10,13,285,354
8,20,284,353
9,20,287,351
8,12,279,348
8,20,283,352
9,20,281,347
8,11,280,348
10,12,284,336
9,18,302,432
10,21,283,442
7,13,280,353
8,12,276,350
9,19,278,430
8,22,277,357
11,15,287,347
9,20,283,350
11,12,284,343
10,15,285,357
8,12,286,347
8,20,279,348
9,19,288,347
8,19,282,535
8,14,286,364
11,19,284,356
10,14,290,354
8,20,284,351
8,12,277,348
8,16,289,443
13,12,286,359
8,12,290,353
10,16,284,347
9,21,284,352
10,16,282,350
10,19,286,347
9,19,278,349
10,19,285,346
8,14,276,369
8,19,283,347
8,19,323,428
8,23,287,356
8,21,281,352
8,18,287,440
10,15,281,345
10,14,281,346
9,19,281,432
11,14,281,356
8,12,279,350
11,14,282,353
8,14,287,434
10,14,283,480
16,19,309,351
10,11,284,359
8,19,285,341
10,19,287,335
7,12,282,350
7,20,284,344
7,19,286,349
7,13,288,347
7,20,284,346
7,20,286,460
7,13,283,353
10,19,288,341
11,14,280,350
9,13,283,345
8,14,281,353
8,12,467,357
10,19,344,478
8,12,456,356
9,12,307,352
8,12,287,352
9,12,289,352
10,12,288,369
10,12,286,349
7,12,287,349
7,13,285,349
7,13,287,349
7,12,282,350
7,12,285,349
10,13,279,543
10,12,291,357
10,13,283,350
10,13,285,356
10,12,280,351
8,12,288,355
10,20,290,350
7,12,293,346
10,14,290,347
10,14,286,338
8,19,288,337
11,19,284,338
9,19,283,332
10,19,286,336
7,19,286,337
10,19,281,417
8,19,282,333
9,13,289,334
10,12,292,332
9,12,284,328
11,12,292,326
10,13,330,327
10,10,330,327
7,19,298,330
11,19,286,333
9,19,376,329
10,14,294,334
8,13,284,328
