      start,   overhead,     sycall,   swapgs_k,      cr3_k,  push_regs, func_entry,  func_exit, ret_checks,   pop_regs,      cr3_u,   swapgs_u,     sysret
          0,        220,        511,        744,        981,       1224,       1520,       1833,       2069,       2301,       2537,       2769,       3059
          0,        219,        503,        736,        972,       1216,       1512,       1824,       2061,       2297,       2534,       2766,       3059
          0,        220,        511,        743,        981,       1224,       1478,       1789,       2027,       2264,       2501,       2734,       3025
          0,        218,        922,       1154,       1392,       1635,       1932,       2244,       2481,       2717,       2955,       3187,       3480
          0,        219,        503,        737,        974,       1218,       1513,       1826,       2063,       2299,       2536,       2771,       3061
          0,        219,        516,        751,        988,       1231,       1485,       1797,       2034,       2270,       2507,       2739,       3239
          0,        219,        503,        736,        972,       1215,       1511,       1823,       2060,       2296,       2533,       2766,       3056
          0,        219,        504,        737,        975,       1218,       1514,       1828,       2065,       2301,       2539,       2771,       3064
          0,        219,        510,        743,        980,       1223,       1517,       1831,       2067,       2300,       2537,       2769,       3062
          0,        218,        503,        736,        974,       1216,       1469,       1780,       2018,       2253,       2491,       2723,       3016
          0,        219,        511,        745,        982,       1225,       1478,       1789,       2025,       2261,       2498,       2733,       3023
          0,        220,        504,        737,        974,       1217,       1513,       1825,       2062,       2295,       2531,       2763,       3053
          0,        219,        675,        909,       1145,       1387,       1683,       1990,       2226,       2462,       2699,       2932,       3227
          0,        219,        504,        738,        975,       1217,       1470,       1783,       2020,       2253,       2490,       2725,       3222
          0,        220,        504,        737,        974,       1218,       1513,       1822,       2059,       2292,       2528,       2760,       3050
          0,        220,        505,        738,        975,       1218,       1519,       1831,       2067,       2299,       2536,       2768,       3058
          0,        219,        504,        802,       1040,       1284,       1580,       1889,       2126,       2362,       2600,       2832,       3125
          0,        219,        503,        736,        972,       1214,       1468,       1779,       2016,       2252,       2489,       2722,       3012
          0,        335,        619,        851,       1089,       1332,       1586,       1897,       2135,       2372,       2609,       2842,       3133
          0,        220,        505,        738,        975,       1219,       1515,       1828,       2065,       2298,       2534,       2766,       3056
          0,        219,        503,        737,        974,       1218,       1470,       1782,       2019,       2255,       2492,       2727,       3017
          0,        294,        584,        819,       1056,       1299,       1553,       1865,       2102,       2338,       2574,       2806,       3302
          0,        220,        620,        853,       1090,       1333,       1630,       1939,       2175,       2411,       2647,       2879,       3169
          0,        220,        504,        737,        973,       1215,       1511,       1825,       2063,       2298,       2535,       2768,       3059
          0,        219,        506,        739,        977,       1220,       1515,       1823,       2060,       2296,       2534,       2766,       3056
          0,        219,        503,        737,        974,       1216,       1470,       1782,       2019,       2255,       2492,       2727,       3017
          0,        219,        503,        736,        969,       1212,       1466,       1774,       2011,       2247,       2484,       2717,       3007
          0,        219,        503,        737,        974,       1219,       1515,       1823,       2060,       2296,       2532,       2765,       3055
          0,        219,        503,        736,        973,       1215,       1510,       1819,       2056,       2292,       2529,       2761,       3054
          0,        219,        506,        739,        976,       1220,       1518,       1827,       2064,       2300,       2538,       2770,       3270
          0,        219,        506,        739,        976,       1218,       1513,       1821,       2058,       2294,       2533,       2765,       3055
          0,        218,        657,        889,       1127,       1369,       1623,       1935,       2172,       2408,       2646,       2878,       3171
          0,        220,       1054,       1287,       1524,       1766,       2063,       2372,       2609,       2843,       3080,       3312,       3602
          0,        218,        502,        734,        972,       1215,       1512,       1821,       2059,       2294,       2531,       2764,       3055
          0,        219,        618,        852,       1089,       1332,       1586,       1898,       2135,       2371,       2608,       2843,       3133
          0,        219,        503,        736,        973,       1216,       1510,       1819,       2056,       2292,       2529,       2761,       3054
          0,        218,        502,        734,        971,       1214,       1512,       1821,       2059,       2294,       2531,       2764,       3055
          0,        220,        855,       1088,       1325,       1568,       1821,       2133,       2370,       2603,       2839,       3071,       3566
          0,        220,        504,        736,        974,       1217,       1514,       1824,       2062,       2299,       2536,       2769,       3060
          0,        219,        504,        738,        974,       1218,       1512,       1821,       2057,       2290,       2526,       2761,       3051
          0,        220,        504,        737,        974,       1217,       1502,       1815,       2051,       2283,       2519,       2751,       3041
          0,        219,        503,        736,        972,       1214,       1468,       1776,       2013,       2249,       2486,       2719,       3009
          0,        220,        504,        737,        974,       1217,       1470,       1783,       2020,       2253,       2489,       2721,       3011
          0,        219,        506,        739,        977,       1220,       1516,       1825,       2062,       2298,       2536,       2768,       3058
          0,        219,        504,        738,        975,       1218,       1518,       1828,       2064,       2300,       2536,       2768,       3058
          0,        219,        504,        737,        975,       1218,       1513,       1821,       2059,       2295,       2533,       2765,       3264
          0,        219,        506,        739,        976,       1220,       1514,       1822,       2059,       2295,       2533,       2765,       3055
          0,        220,        504,        737,        974,       1216,       1467,       1779,       2016,       2250,       2487,       2719,       3009
          0,        219,        506,        739,        976,       1220,       1518,       1829,       2066,       2302,       2540,       2772,       3062
          0,        220,        505,        738,        975,       1217,       1518,       1830,       2066,       2298,       2534,       2766,       3056
          0,        221,        505,        739,        976,       1219,       1471,       1779,       2016,       2252,       2489,       2722,       3012
          0,        219,        503,        737,        974,       1217,       1513,       1824,       2061,       2294,       2531,       2766,       3056
          0,        221,        509,        742,        979,       1221,       1517,       1830,       2067,       2303,       2540,       2773,       3063
          0,        220,        504,        737,        974,       1217,       1468,       1783,       2021,       2258,       2495,       2728,       3226
          0,        219,        616,        849,       1086,       1330,       1629,       1939,       2176,       2412,       2649,       2882,       3172
          0,        219,        503,        736,        972,       1216,       1511,       1819,       2056,       2292,       2529,       2762,       3052
          0,        220,        504,        737,        974,       1217,       1517,       1828,       2066,       2303,       2540,       2772,       3062
          0,        219,        504,        738,        975,       1217,       1470,       1781,       2017,       2253,       2490,       2722,       3012
          0,        221,        644,        877,       1114,       1357,       1610,       1922,       2159,       2395,       2632,       2864,       3157
          0,        218,        502,        734,        972,       1215,       1513,       1822,       2060,       2295,       2532,       2765,       3056
          0,        222,        507,        740,        977,       1220,       1516,       1825,       2061,       2297,       2533,       2765,       3055
          0,        219,        641,        874,       1109,       1351,       1646,       1955,       2192,       2428,       2666,       2898,       3398
          0,        220,        714,        947,       1184,       1426,       1721,       2031,       2268,       2502,       2739,       2971,       3261
          0,        218,        503,        736,        974,       1219,       1470,       1782,       2020,       2256,       2494,       2726,       3019
          0,        219,        503,        736,        972,       1216,       1510,       1821,       2057,       2290,       2527,       2760,       3050
          0,        221,        505,        739,        975,       1217,       1510,       1818,       2054,       2287,       2524,       2757,       3047
          0,        219,        506,        739,        976,       1219,       1472,       1785,       2022,       2258,       2496,       2728,       3023
          0,        219,        506,        739,        976,       1220,       1515,       1824,       2061,       2297,       2535,       2767,       3062
          0,        220,        734,        966,       1204,       1447,       1745,       2054,       2292,       2529,       2766,       2999,       3290
          0,        220,        504,        736,        974,       1217,       1471,       1782,       2020,       2257,       2494,       2727,       3225
          0,        218,        503,        736,        974,       1219,       1516,       1825,       2063,       2298,       2535,       2767,       3063
          0,        220,        685,        918,       1155,       1399,       1696,       2004,       2240,       2476,       2713,       2945,       3240
          0,        219,        506,        739,        977,       1221,       1517,       1826,       2063,       2299,       2537,       2769,       3064
          0,        220,        504,        737,        974,       1217,       1471,       1784,       2021,       2254,       2490,       2722,       3017
          0,        219,        503,        737,        974,       1216,       1468,       1776,       2013,       2249,       2486,       2719,       3009
          0,        220,        504,        737,        974,       1218,       1514,       1827,       2065,       2300,       2537,       2770,       3066
          0,        219,        504,        738,        975,       1218,       1514,       1823,       2060,       2296,       2533,       2765,       3060
          0,        219,        507,        740,        977,       1219,       1516,       1826,       2063,       2299,       2535,       2768,       3266
          0,        219,        503,        737,        974,       1216,       1511,       1819,       2056,       2292,       2529,       2762,       3057
          0,        221,        505,        738,        974,       1218,       1472,       1784,       2021,       2257,       2494,       2726,       3019
          0,        219,        503,        736,        972,       1215,       1511,       1819,       2055,       2288,       2525,       2758,       3053
          0,        218,        503,        736,        974,       1217,       1513,       1826,       2063,       2299,       2537,       2769,       3064
          0,        220,        504,        737,        974,       1217,       1469,       1781,       2018,       2251,       2487,       2719,       3014
          0,        219,        641,        874,       1111,       1355,       1651,       1963,       2200,       2436,       2672,       2904,       3200
          0,        219,        503,        736,        973,       1216,       1512,       1820,       2056,       2289,       2526,       2758,       3054
          0,        220,        505,        738,        975,       1219,       1472,       1784,       2020,       2256,       2492,       2724,       3222
          0,        219,        503,        735,        973,       1216,       1513,       1822,       2060,       2295,       2531,       2764,       3055
          0,        220,        504,        737,        974,       1215,       1469,       1782,       2020,       2257,       2494,       2726,       3021
          0,        219,        506,        739,        976,       1219,       1514,       1823,       2060,       2296,       2534,       2766,       3061
          0,        218,        503,        736,        974,       1216,       1513,       1821,       2059,       2294,       2532,       2764,       3060
          0,        220,        504,        737,        974,       1219,       1470,       1785,       2023,       2260,       2496,       2729,       3025
          0,        219,        511,        744,        979,       1223,       1516,       1825,       2064,       2297,       2535,       2767,       3060
          0,        219,       1109,       1343,       1580,       1823,       2119,       2433,       2670,       2903,       3140,       3375,       3665
          0,        220,        504,        737,        974,       1218,       1469,       1781,       2018,       2252,       2489,       2721,       3216
          0,        219,        506,        739,        977,       1219,       1515,       1823,       2060,       2296,       2534,       2766,       3056
          0,        220,        715,        948,       1185,       1428,       1725,       2040,       2278,       2515,       2752,       2984,       3274
          0,        219,        623,        976,       1212,       1455,       1750,       2062,       2299,       2535,       2772,       3005,       3295
          0,        220,        504,        737,        974,       1217,       1471,       1783,       2020,       2253,       2489,       2721,       3011
          0,        219,        508,        744,        981,       1226,       1478,       1786,       2023,       2259,       2496,       2729,       3019
          0,        219,        504,        738,        975,       1219,       1516,       1829,       2066,       2299,       2536,       2768,       3058
          0,        219,        503,        737,        974,       1217,       1512,       1823,       2060,       2296,       2533,       2766,       3056
          0,        219,        694,        927,       1165,       1410,       1705,       2018,       2255,       2491,       2729,       2961,       3460
          0,        220,        504,        736,        973,       1214,       1514,       1825,       2063,       2298,       2535,       2768,       3059
          0,        219,        503,        737,        974,       1217,       1469,       1780,       2016,       2249,       2486,       2721,       3011
          0,        219,        503,        737,        974,       1217,       1513,       1822,       2059,       2295,       2532,       2767,       3057
          0,        219,        506,        739,        976,       1219,       1514,       1827,       2064,       2300,       2538,       2770,       3060
