noop,fork-simple,vfork-simple
22,45911,10103
21,41408,12088
20,42390,9356
21,40861,10986
20,46701,13351
21,41680,13995
21,44136,9359
21,40929,9773
21,45234,9942
21,41150,13529
21,42520,10141
21,42465,9783
21,45686,9417
20,42417,13068
21,41999,9726
21,42592,9677
21,44621,9830
21,41511,13916
20,41882,9947
20,42971,9848
21,45542,13571
21,41483,13341
21,42388,9887
20,43615,9442
21,46201,9756
21,41139,13689
21,41832,9858
21,46636,9517
20,44482,9910
21,41770,11984
21,41670,9861
21,43217,11935
21,45221,10148
20,41205,12423
21,42410,9858
21,44106,13209
21,46023,9947
21,41126,13352
21,43728,10412
22,46973,9914
21,41186,10288
20,41392,12221
22,41993,9444
21,46656,9941
20,41927,9558
20,41052,16149
21,42149,10033
21,45987,9468
20,44911,9924
21,41561,14441
21,41528,9815
20,46893,12796
21,41714,9719
21,42614,11440
21,42396,9826
21,47057,9835
21,41882,9952
21,42084,14130
21,42216,9804
21,46300,14301
21,42699,9669
21,41012,12005
21,41592,9450
21,46045,9114
20,41654,10922
20,42243,11566
21,43230,13192
21,46766,9720
21,42149,9798
21,45352,12444
21,41875,10293
21,45343,9657
21,41114,9837
21,41651,14362
21,41594,9659
21,45431,9287
20,41113,9608
21,41551,15749
20,42440,9376
21,45681,9786
22,41165,9670
21,41114,12244
22,43039,13290
20,45002,9459
22,42377,9910
21,41434,12131
21,41993,9565
21,44721,13831
20,41820,10023
21,41181,11887
20,45468,9504
20,44312,10007
21,43338,9729
21,41784,13226
20,41654,9924
20,45192,9544
21,42336,10123
21,42026,14879
21,44735,9740
21,41249,9933
21,42050,10048
21,41663,13700
21,44429,9584
22,41645,10053
22,41981,10093
21,41635,13005
20,45569,10306
21,42718,9738
20,42632,10040
21,42171,13240
21,46158,9381
22,45124,9794
21,42617,10233
21,42290,16051
21,45462,9480
21,42211,15116
21,42489,9375
21,41641,14505
21,44527,9846
21,41705,9516
21,41956,9895
21,41418,13395
21,46136,9492
21,41818,9954
21,43379,9935
22,41599,12333
21,44895,9544
21,41823,9488
21,44064,13570
21,41594,14525
21,44818,9793
21,41212,9455
22,46637,9680
21,40861,12766
21,46011,9405
21,41066,9491
21,43856,9883
21,41884,11915
21,45737,9688
21,41870,9824
21,43424,9946
21,41578,15501
20,44859,9476
21,41864,15057
21,43390,13173
21,41927,12521
21,44102,9476
21,41187,9675
21,43368,9880
21,42727,13512
21,44792,9526
21,41520,9657
22,44417,10089
21,46231,15300
21,42879,9630
21,41549,9689
21,44319,9830
21,45169,17637
21,42356,9944
21,41876,9577
21,42815,13528
21,44761,13641
20,41452,9471
21,41431,9897
21,41576,9303
21,44866,15021
21,42095,10849
21,41619,9361
21,41929,10012
20,44921,13319
21,42558,9622
21,41594,14402
21,41871,9701
21,44829,14069
21,44862,9701
21,41805,12875
21,42507,9471
21,45055,13207
21,41972,9559
21,40987,9319
20,41497,9751
21,45191,14964
21,42785,9599
21,41162,9868
21,42724,9964
20,45797,16148
21,41667,9437
21,43653,10087
21,41414,9453
21,44765,13941
21,42239,13436
21,45234,9345
21,40774,10376
21,44570,12858
21,41144,9994
20,44957,9406
21,42816,9825
21,45457,16644
21,41337,9662
21,44053,15387
22,43909,10498
21,45349,14836
21,42659,10036
20,44434,9574
21,40954,9805
20,44295,13948
21,41821,12827
20,42591,9773
20,44695,10151
21,41716,15640
21,41633,9600
22,42289,9610
21,44610,9763
20,41893,14279
21,42475,9630
21,42038,9851
20,46694,10842
21,41455,13024
21,42793,9604
21,41715,9580
20,45655,9526
21,41827,15661
21,41927,9904
20,40784,9791
21,45074,9881
21,40581,12810
21,41863,9961
21,42369,15017
20,46418,9732
20,42040,15040
21,42662,9452
21,40757,9673
21,46282,10822
21,41585,12894
21,41454,9646
20,42149,9652
21,45860,9869
21,45006,19198
21,41949,9859
20,43952,9778
21,45030,9931
20,41772,15077
21,42408,9527
21,42162,9807
21,45314,9543
21,41404,14840
21,41042,9659
22,42381,9923
21,45060,9673
21,40492,14607
20,42106,9715
21,43717,9743
21,44250,13246
21,41197,14197
20,41656,9518
21,42791,18547
21,44009,10347
21,41326,15294
21,44531,9519
21,43301,9805
21,45146,9780
21,41087,16421
21,41517,9879
21,46909,9487
20,41195,9917
