      start,   overhead,     sycall,   swapgs_k,      cr3_k,  push_regs,       func, do_syscall, ret_checks,   pop_regs,      cr3_u,   swapgs_u,     sysret
          0,        235,        522,        772,       1023,       1284,       1547,       1831,       2083,       2329,       2577,       2822,       3103
          0,        233,        521,        771,       1022,       1286,       1550,       1837,       2089,       2338,       2585,       2830,       3112
          0,        234,        520,        770,       1021,       1285,       1551,       1836,       2088,       2334,       2583,       2828,       3112
          0,        236,        525,        777,       1029,       1293,       1556,       1842,       2096,       2343,       2591,       2837,       3118
          0,        233,        521,        771,       1022,       1283,       1547,       1833,       2084,       2332,       2580,       2825,       3107
          0,        233,        521,        773,       1026,       1290,       1553,       1838,       2093,       2339,       2587,       2834,       3115
          0,        233,        520,        770,       1021,       1282,       1547,       1832,       2084,       2333,       2581,       2826,       3109
          0,        235,        523,        774,       1025,       1289,       1552,       1838,       2090,       2336,       2583,       2826,       3107
          0,        233,        521,        773,       1026,       1290,       1553,       1837,       2091,       2337,       2586,       2831,       3112
          0,        234,        521,        771,       1022,       1286,       1552,       1837,       2088,       2338,       2586,       2831,       3115
          0,        235,        522,        772,       1023,       1284,       1547,       1832,       2084,       2332,       2581,       2824,       3105
          0,        236,        524,        775,       1027,       1291,       1554,       1840,       2093,       2341,       2589,       2835,       3116
          0,        234,        523,        776,       1030,       1291,       1554,       1837,       2088,       2336,       2585,       2833,       3114
          0,        235,        523,        771,       1021,       1284,       1546,       1829,       2080,       2328,       2576,       2819,       3100
          0,        234,        524,        775,       1028,       1289,       1552,       1837,       2091,       2339,       2588,       2835,       3116
          0,        234,        521,        771,       1022,       1286,       1552,       1838,       2089,       2340,       2587,       2832,       3116
          0,        236,        523,        774,       1026,       1290,       1553,       1837,       2089,       2336,       2585,       2829,       3110
          0,        233,        520,        770,       1021,       1285,       1550,       1838,       2090,       2340,       2587,       2832,       3115
          0,        236,        524,        775,       1027,       1288,       1551,       1833,       2087,       2333,       2581,       2827,       3108
          0,        233,        519,        769,       1023,       1287,       1550,       1836,       2087,       2336,       2585,       2833,       3115
          0,        234,        520,        770,       1021,       1282,       1548,       1830,       2081,       2328,       2576,       2821,       3105
          0,        233,        520,        770,       1021,       1285,       1549,       1836,       2087,       2335,       2584,       2829,       3111
          0,        235,        522,        772,       1023,       1284,       1547,       1831,       2082,       2330,       2579,       2824,       3105
          0,        233,        522,        774,       1027,       1291,       1554,       1836,       2090,       2338,       2585,       2832,       3113
          0,        233,        520,        770,       1021,       1282,       1547,       1833,       2084,       2335,       2583,       2828,       3112
          0,        234,        524,        777,       1030,       1294,       1557,       1842,       2096,       2344,       2592,       2839,       3120
          0,        233,        521,        771,       1022,       1283,       1547,       1833,       2084,       2334,       2583,       2828,       3110
          0,        235,        522,        773,       1024,       1288,       1551,       1836,       2089,       2336,       2583,       2826,       3107
          0,        234,        524,        777,       1031,       1295,       1558,       1841,       2092,       2341,       2590,       2838,       3119
          0,        236,        523,        774,       1026,       1290,       1553,       1838,       2091,       2339,       2586,       2832,       3113
          0,        233,        520,        770,       1024,       1288,       1551,       1836,       2087,       2336,       2586,       2834,       3116
          0,        234,        520,        770,       1021,       1285,       1551,       1836,       2088,       2336,       2583,       2828,       3109
          0,        233,        522,        774,       1027,       1291,       1554,       1836,       2090,       2338,       2586,       2833,       3114
          0,        235,        521,        771,       1022,       1286,       1549,       1834,       2085,       2333,       2580,       2825,       3106
          0,        233,        522,        774,       1027,       1291,       1554,       1838,       2092,       2340,       2589,       2836,       3117
