noop,fork-simple,vfork-simple
21,40495,10213
21,44375,10084
21,44476,9686
21,41032,9489
22,42996,10009
21,42572,10144
21,42564,11171
21,40711,9943
21,44444,9978
21,41866,10367
20,40833,13281
21,40992,10012
21,43760,9980
21,41047,10484
21,40525,9910
22,41328,9968
21,43494,9961
22,40811,10099
21,40473,10711
21,44051,10181
21,40418,9904
21,41078,10237
21,41344,9979
21,45048,9792
21,41259,10189
22,41675,14122
21,41676,9812
21,44260,10209
21,42094,9953
20,42866,10482
21,43801,12463
21,40320,9708
21,40946,10295
21,41152,10584
21,43716,10284
21,41765,9957
21,40961,9919
22,41259,10312
21,46798,10708
22,40305,9964
21,40364,9974
21,44067,12866
21,42732,9681
21,40038,9949
21,40811,9791
21,43750,10359
21,41747,9963
21,40806,9728
20,41231,10318
20,44071,9833
21,42310,9560
20,44346,9700
21,41994,10094
21,43966,9953
21,42343,9846
21,41623,9537
22,44767,12540
21,40625,9880
21,43510,10357
22,40703,11924
21,44746,9749
22,41046,9974
21,42468,9951
21,41124,9783
21,45112,9794
21,41626,9513
20,42213,9818
22,43211,12240
20,40581,9804
21,40854,9995
21,42653,10780
21,44294,11905
21,40929,14856
21,42457,9569
21,43217,9362
21,43917,12386
21,40426,10650
22,42113,9660
21,46596,9782
21,41742,11936
21,41830,9756
21,41176,9912
21,47041,9437
21,41229,12285
21,40958,9624
21,41031,9891
21,45139,9556
21,41432,17437
21,41080,9704
21,40807,9410
21,48026,9731
20,41255,11703
21,42761,9536
22,44180,9974
21,42324,9732
21,42446,13600
21,40345,9948
21,44446,9855
21,41130,9836
21,40907,12046
21,40245,9844
21,44474,9744
21,40584,10988
21,40444,16925
21,43968,9534
21,41922,9501
20,40757,9537
20,41243,11758
21,44301,9497
21,40595,9901
21,41672,9324
21,40822,12618
21,43775,9361
21,41634,9409
21,40476,10743
20,44032,14216
21,41162,9775
21,41850,10071
21,41606,9462
21,45056,15332
22,41700,9781
22,41690,9958
21,41715,9674
21,43493,12739
21,40896,9515
21,39901,9763
22,43497,9755
20,41023,12989
21,40494,9847
20,40622,10072
21,43157,9810
21,41787,11881
20,42475,9940
22,41322,9925
22,44382,14126
21,40406,11901
21,42984,9363
21,41422,9745
21,43702,9585
21,41504,11798
21,43320,9335
22,44355,9853
21,43029,10013
21,40890,16820
21,43035,9560
21,43692,9244
20,41685,9145
21,41360,11964
22,42320,9656
21,43701,9665
21,40275,12956
21,40512,12103
21,45707,9724
21,41300,9306
21,40831,9510
21,40704,12338
21,44864,12282
20,40678,11122
21,40508,9604
21,40838,12070
21,45757,9783
21,40929,9814
21,41106,9833
22,44288,11996
21,43954,9687
20,44847,13439
22,40494,10678
21,43574,11611
21,41878,9224
21,41582,9698
21,41538,9383
22,44517,16256
21,42959,9417
21,41696,9806
22,40454,9840
21,43466,12121
22,42408,9669
21,40901,9351
21,42888,10378
21,40135,12492
20,43090,10134
21,40126,13488
21,43903,9558
21,40530,12349
22,41675,9776
21,40888,11120
21,44705,9942
21,41107,12363
21,42116,9654
21,43908,9997
