CPU,mitigation,kernel,benchmark,adjusted,mean,median,p1,p25,p50,p75,p99,std,iqr,min,max
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,nopti%mds=off,fastcall,noop,True,-0.11595797898949475,0.0,-1.0,-1.0,0.0,0.0,4.0,1.3116862165168992,1.0,-1.0,24.0
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,nopti%mds=off,fastcall,fastcall,True,106.38732959101844,108.0,98.0,106.0,108.0,109.0,112.0,4.263044964778416,3.0,96.0,236.0
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,nopti%mds=off,fccmp,noop,False,38.44232116058029,38.0,37.0,38.0,38.0,38.0,42.0,1.3520591136599276,0.0,37,62
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,nopti%mds=off,fccmp,vdso,False,39.51435143514352,39.0,38.0,39.0,39.0,39.0,45.0,1.782662852473863,0.0,38,94
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,nopti%mds=off,fccmp,syscall,False,244.14543993571715,244.0,237.0,243.0,244.0,246.0,250.0,2.8016202870360893,3.0,234,346
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,nopti%mds=off,fccmp,ioctl,False,449.608161209068,450.0,438.0,446.0,450.0,453.0,461.0,5.654192077973313,7.0,429,680
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,nopti%mds=off,fccmp,noop,True,0.44232116058029014,0.0,-1.0,0.0,0.0,0.0,4.0,1.3520591136599276,0.0,-1.0,24.0
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,nopti%mds=off,fccmp,vdso,True,1.5143514351435143,1.0,0.0,1.0,1.0,1.0,7.0,1.7826628524738628,0.0,0.0,56.0
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,nopti%mds=off,fccmp,syscall,True,206.14543993571715,206.0,199.0,205.0,206.0,208.0,212.0,2.8016202870360893,3.0,196.0,308.0
Intel(R)_Core(TM)_i7-4790_CPU_@_3.60GHz,nopti%mds=off,fccmp,ioctl,True,411.608161209068,412.0,400.0,408.0,412.0,415.0,423.0,5.654192077973313,7.0,391.0,642.0
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,mitigations=off,fastcall,noop,False,9.784256851370275,10.0,7.0,9.0,10.0,10.0,16.0,1.7653859409048882,1.0,6,38
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,mitigations=off,fastcall,fastcall,False,171.30986056776007,171.0,169.0,169.0,171.0,172.0,183.0,2.998910436879541,3.0,168,279
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,mitigations=off,fastcall,noop,True,-0.21574314862972593,0.0,-3.0,-1.0,0.0,0.0,6.0,1.7653859409048882,1.0,-4.0,28.0
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,mitigations=off,fastcall,fastcall,True,161.30986056776007,161.0,159.0,159.0,161.0,162.0,173.0,2.998910436879541,3.0,158.0,269.0
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,mitigations=off,fccmp,noop,False,9.35520656196859,10.0,7.0,8.0,10.0,10.0,16.0,1.819934009183929,2.0,6,41
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,mitigations=off,fccmp,vdso,False,15.523714228537122,14.0,10.0,12.0,14.0,19.0,22.0,3.4391255463413613,7.0,7,57
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,mitigations=off,fccmp,syscall,False,291.36885986941235,285.0,276.0,282.0,285.0,289.0,454.0,26.215901383320425,7.0,270,485
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,mitigations=off,fccmp,ioctl,False,360.47735507246375,353.0,332.0,349.0,353.0,357.0,529.0,34.33047351148651,8.0,321,557
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,mitigations=off,fccmp,noop,True,-0.6447934380314094,0.0,-3.0,-2.0,0.0,0.0,6.0,1.8199340091839287,2.0,-4.0,31.0
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,mitigations=off,fccmp,vdso,True,5.523714228537123,4.0,0.0,2.0,4.0,9.0,12.0,3.4391255463413613,7.0,-3.0,47.0
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,mitigations=off,fccmp,syscall,True,281.36885986941235,275.0,266.0,272.0,275.0,279.0,444.0,26.215901383320425,7.0,260.0,475.0
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,mitigations=off,fccmp,ioctl,True,350.47735507246375,343.0,322.0,339.0,343.0,347.0,519.0,34.33047351148651,8.0,311.0,547.0
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,mitigations=auto,fastcall,noop,False,9.853585358535854,10.0,7.0,9.0,10.0,10.0,16.0,1.8362195039527052,1.0,6,41
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,mitigations=auto,fastcall,fastcall,False,173.70800722456352,172.0,171.0,172.0,172.0,176.0,186.0,3.6635862814254705,4.0,168,282
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,mitigations=auto,fastcall,noop,True,-0.14641464146414643,0.0,-3.0,-1.0,0.0,0.0,6.0,1.8362195039527052,1.0,-4.0,31.0
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,mitigations=auto,fastcall,fastcall,True,163.70800722456352,162.0,161.0,162.0,162.0,166.0,176.0,3.6635862814254705,4.0,158.0,272.0
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,mitigations=auto,fccmp,noop,False,9.54750950190038,10.0,7.0,8.0,10.0,10.0,16.0,2.1373364124647627,2.0,6,41
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,mitigations=auto,fccmp,vdso,False,15.4884,14.0,11.0,12.0,14.0,19.0,22.0,3.748848548554609,7.0,6,116
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,mitigations=auto,fccmp,syscall,False,294.79989959839355,289.0,276.0,284.0,289.0,295.0,454.0,63.73455888271178,11.0,271,6090
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,mitigations=auto,fccmp,ioctl,False,361.351503570351,353.0,329.0,348.0,353.0,357.0,530.0,37.95462825792775,9.0,319,1367
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,mitigations=auto,fccmp,noop,True,-0.45249049809961994,0.0,-3.0,-2.0,0.0,0.0,6.0,2.1373364124647627,2.0,-4.0,31.0
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,mitigations=auto,fccmp,vdso,True,5.4884,4.0,1.0,2.0,4.0,9.0,12.0,3.748848548554609,7.0,-4.0,106.0
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,mitigations=auto,fccmp,syscall,True,284.79989959839355,279.0,266.0,274.0,279.0,285.0,444.0,63.73455888271178,11.0,261.0,6080.0
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,mitigations=auto,fccmp,ioctl,True,351.351503570351,343.0,319.0,338.0,343.0,347.0,520.0,37.95462825792775,9.0,309.0,1357.0
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,nopti%mds=off,fastcall,noop,False,9.1415,9.0,7.0,8.0,9.0,10.0,16.0,1.7213592739460288,2.0,6,41
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,nopti%mds=off,fastcall,fastcall,False,173.57109907741676,173.0,169.0,172.0,173.0,175.0,184.0,3.284274831173215,3.0,168,284
